local_entity_key,geo_entity_id,type_key,name_or_title,slug,description,source_file,json_pointer
claim:choice-markets-vs-common-public-system:some-voucher-lotteries-produced-worse-test-scores,,evidence_claim,some-voucher-lotteries-produced-worse-test-scores,some-voucher-lotteries-produced-worse-test-scores,Some voucher lotteries produced worse test scores.,content/landing-cards.json,$[?dichotomySlug=='choice-markets-vs-common-public-system']
claim:human-tutoring-vs-ai-tutoring:ai-schools-are-running-ahead-of-the-evidence,,evidence_claim,ai-schools-are-running-ahead-of-the-evidence,ai-schools-are-running-ahead-of-the-evidence,AI schools are running ahead of the evidence.,content/landing-cards.json,$[?dichotomySlug=='human-tutoring-vs-ai-tutoring']
claim:human-tutoring-vs-ai-tutoring:high-dosage-tutoring-is-one-of-the-clearest-k-12-bets,,evidence_claim,high-dosage-tutoring-is-one-of-the-clearest-k-12-bets,high-dosage-tutoring-is-one-of-the-clearest-k-12-bets,High-dosage tutoring is one of the clearest K-12 bets.,content/landing-cards.json,$[?dichotomySlug=='human-tutoring-vs-ai-tutoring']
claim:more-money-resources-vs-money-does-not-matter:money-can-matter-the-question-is-what-it-buys,,evidence_claim,money-can-matter-the-question-is-what-it-buys,money-can-matter-the-question-is-what-it-buys,Money can matter. The question is what it buys.,content/landing-cards.json,$[?dichotomySlug=='more-money-resources-vs-money-does-not-matter']
claim:small-schools-personalization-vs-comprehensive-breadth:the-gates-backed-small-schools-story-is-different,,evidence_claim,the-gates-backed-small-schools-story-is-different,the-gates-backed-small-schools-story-is-different,The Gates-backed small-schools story is different.,content/landing-cards.json,$[?dichotomySlug=='small-schools-personalization-vs-comprehensive-breadth']
claim:teacher-incentives-evaluation-vs-trust-professionalism:teacher-coaching-beats-generic-professional-development-but-scaling-weakens-effe,,evidence_claim,teacher-coaching-beats-generic-professional-development-but-scaling-weakens-effe,teacher-coaching-beats-generic-professional-development-but-scaling-weakens-effe,"Teacher coaching beats generic professional development, but scaling weakens effects.",content/landing-cards.json,$[?dichotomySlug=='teacher-incentives-evaluation-vs-trust-professionalism']
claim:teacher-incentives-evaluation-vs-trust-professionalism:the-gates-teacher-effectiveness-bet-did-not-deliver-the-hoped-for-student-gains,,evidence_claim,the-gates-teacher-effectiveness-bet-did-not-deliver-the-hoped-for-student-gains,the-gates-teacher-effectiveness-bet-did-not-deliver-the-hoped-for-student-gains,The Gates teacher-effectiveness bet did not deliver the hoped-for student gains.,content/landing-cards.json,$[?dichotomySlug=='teacher-incentives-evaluation-vs-trust-professionalism']
claim:whole-language-balanced-literacy-vs-phonics-science-of-reading:reading-first-changed-instruction-but-not-broad-comprehension-scores,,evidence_claim,reading-first-changed-instruction-but-not-broad-comprehension-scores,reading-first-changed-instruction-but-not-broad-comprehension-scores,"Reading First changed instruction, but not broad comprehension scores.",content/landing-cards.json,$[?dichotomySlug=='whole-language-balanced-literacy-vs-phonics-science-of-reading']
continuum:bilingual-dual-language-vs-english-immersion,,continuum_position,Bilingual dual-language vs English immersion continuum,bilingual-dual-language-vs-english-immersion,The conclusion depends on time horizon and whether biliteracy itself is treated as an outcome.,content/dichotomies.json,$[?slug=='bilingual-dual-language-vs-english-immersion'].continuum
continuum:central-curriculum-hqim-vs-teacher-created-materials,,continuum_position,Central curriculum / HQIM vs teacher-created materials continuum,central-curriculum-hqim-vs-teacher-created-materials,"Materials quality matters, but procurement without use, training, and buy-in has weak effects.",content/dichotomies.json,$[?slug=='central-curriculum-hqim-vs-teacher-created-materials'].continuum
continuum:choice-markets-vs-common-public-system,,continuum_position,Choice/markets vs common public system continuum,choice-markets-vs-common-public-system,"Effects depend on school quality, accountability rules, admissions, transportation, and outcome definition.",content/dichotomies.json,$[?slug=='choice-markets-vs-common-public-system'].continuum
continuum:college-for-all-vs-cte-career-pathways,,continuum_position,College-for-all vs CTE/career pathways continuum,college-for-all-vs-cte-career-pathways,"Strong career pathways avoid dead-end tracking by preserving rigor, credits, and portable credentials.",content/dichotomies.json,$[?slug=='college-for-all-vs-cte-career-pathways'].continuum
continuum:data-driven-continuous-improvement-vs-big-bang-reform,,continuum_position,Data-driven continuous improvement vs big-bang reform continuum,data-driven-continuous-improvement-vs-big-bang-reform,Continuous improvement is strong for targeted problems; structural redesign may still be needed for systemic failures.,content/dichotomies.json,$[?slug=='data-driven-continuous-improvement-vs-big-bang-reform'].continuum
continuum:direct-instruction-vs-inquiry-project-based-learning,,continuum_position,Direct instruction vs inquiry/project-based learning continuum,direct-instruction-vs-inquiry-project-based-learning,Novices usually need explicit modeling and practice; inquiry works best when content-rich and scaffolded.,content/dichotomies.json,$[?slug=='direct-instruction-vs-inquiry-project-based-learning'].continuum
continuum:discipline-order-vs-restorative-relational-climate,,continuum_position,Discipline/order vs restorative/relational climate continuum,discipline-order-vs-restorative-relational-climate,"Reducing exclusion matters, but safety and instructional time cannot be waved away.",content/dichotomies.json,$[?slug=='discipline-order-vs-restorative-relational-climate'].continuum
continuum:early-academics-vs-play-based-pre-k,,continuum_position,Early academics vs play-based pre-K continuum,early-academics-vs-play-based-pre-k,"The evidence favors intentional instruction embedded in development, not worksheets or purely unstructured play.",content/dichotomies.json,$[?slug=='early-academics-vs-play-based-pre-k'].continuum
continuum:human-tutoring-vs-ai-tutoring,,continuum_position,Human tutoring vs AI tutoring continuum,human-tutoring-vs-ai-tutoring,Human high-dosage tutoring has much stronger causal evidence; AI may scale practice and feedback but is not equivalent yet.,content/dichotomies.json,$[?slug=='human-tutoring-vs-ai-tutoring'].continuum
continuum:integration-desegregation-vs-neighborhood-local-control,,continuum_position,Integration/desegregation vs neighborhood/local control continuum,integration-desegregation-vs-neighborhood-local-control,"Test scores are not the only outcome; civic contact, peer composition, and access to resources also matter.",content/dichotomies.json,$[?slug=='integration-desegregation-vs-neighborhood-local-control'].continuum
continuum:knowledge-rich-curriculum-vs-generic-skills,,continuum_position,Knowledge-rich curriculum vs generic skills continuum,knowledge-rich-curriculum-vs-generic-skills,Comprehension and reasoning depend heavily on domain knowledge; generic strategies alone are too thin.,content/dichotomies.json,$[?slug=='knowledge-rich-curriculum-vs-generic-skills'].continuum
continuum:more-money-resources-vs-money-does-not-matter,,continuum_position,More money/resources vs 'money does not matter' continuum,more-money-resources-vs-money-does-not-matter,"Sustained targeted dollars can improve outcomes, but spending category and implementation are decisive.",content/dichotomies.json,$[?slug=='more-money-resources-vs-money-does-not-matter'].continuum
continuum:remediation-readiness-vs-grade-level-acceleration,,continuum_position,Remediation/readiness vs grade-level acceleration continuum,remediation-readiness-vs-grade-level-acceleration,Backfilling forever can trap students; access to grade-level work needs tutoring and scaffolding.,content/dichotomies.json,$[?slug=='remediation-readiness-vs-grade-level-acceleration'].continuum
continuum:screens-harm-development-vs-technology-enables-learning,,continuum_position,Screens harm development vs technology enables learning continuum,screens-harm-development-vs-technology-enables-learning,Technology effects depend on what activity the tool replaces and whether adult-guided instructional design is present.,content/dichotomies.json,$[?slug=='screens-harm-development-vs-technology-enables-learning'].continuum
continuum:seat-time-vs-mastery,,continuum_position,Seat time vs mastery continuum,seat-time-vs-mastery,Mastery is philosophically strong but hard to validate because credits and grades can change meaning.,content/dichotomies.json,$[?slug=='seat-time-vs-mastery'].continuum
continuum:sel-whole-child-vs-academics-first,,continuum_position,SEL/whole-child vs academics-first continuum,sel-whole-child-vs-academics-first,"SEL is strongest when it improves engagement and learning conditions, not when it substitutes for academics.",content/dichotomies.json,$[?slug=='sel-whole-child-vs-academics-first'].continuum
